idx	n_mut
30955	2
36810	2
35443	2
33609	2
40164	2
34858	2
25299	2
23163	2
25600	2
36111	2
9997	2
50824	2
23123	2
52663	2
44965	2
34303	2
6048	2
6805	2
26693	2
44005	2
48828	2
22669	2
24151	2
27061	2
1976	2
30398	2
39189	2
42491	2
38604	2
29381	2
12506	2
2266	2
52562	2
47207	2
38877	2
52773	2
952	2
40446	2
40167	2
38827	2
17601	2
23540	2
22009	2
11266	2
51258	2
157	2
3749	2
50877	2
4492	2
51358	2
20480	2
11180	2
32041	2
22494	2
18238	2
36120	2
51274	2
41083	2
51499	2
29714	2
2815	2
29939	2
9429	2
16091	2
25627	2
34632	2
42663	2
53324	2
21054	2
22243	2
1220	2
17473	2
34465	2
6184	2
34855	2
27540	2
42441	2
11419	2
18326	2
15809	2
10309	2
30350	2
30293	2
23337	2
17147	2
3711	2
23333	2
52536	2
48723	2
12516	2
2189	2
44421	2
21524	2
20645	2
6019	2
38641	2
35717	2
47987	2
53959	2
21424	2
38847	2
35818	2
11713	2
8721	2
6218	2
15845	2
23606	2
40108	2
16985	2
14929	2
29901	2
45545	2
14874	2
50189	2
36103	2
32663	2
37832	2
891	2
7449	2
29641	2
25492	2
12068	2
23093	2
40063	2
52371	2
32856	2
32750	2
4894	2
45721	2
46951	2
29220	2
34694	2
23733	2
23202	2
44777	2
29790	2
31484	2
42626	2
24489	2
42595	2
31810	2
44659	2
33756	2
12025	2
40430	2
21445	2
14431	2
14743	2
10144	2
23694	2
38305	2
22341	2
1811	2
45462	2
47698	2
8072	2
14895	2
30288	2
6298	2
37514	2
18480	2
4705	2
47963	2
21055	2
5373	2
12165	2
27817	2
36075	2
9981	2
23873	2
31894	2
36089	2
17396	2
36034	2
44464	2
45894	2
48756	2
51130	2
36646	2
14233	2
23952	2
15819	2
46125	2
7314	2
23739	2
38322	2
22430	2
19291	2
20446	2
23712	2
46773	2
52877	2
34869	2
42280	2
40193	2
43836	2
21370	2
38926	2
15931	2
17228	2
32442	2
51534	2
33806	2
15178	2
40258	2
1722	2
